中文名稱,英文名稱,地區,最近一個月平均成交價,最近一個月成交量,實用面積範圍,建成日期範圍,期數,座數,單位總數目,成交量比例,屋苑發展商
美景花園,Mayfair Gardens,青衣,"9,141",8,328-564,1982-1984,,8,"1,912",0.42%,新鴻基
時代廣場,The Trend Plaza,屯門,"10,371",10,272-583,1988,,5,"1,240",0.81%,恒基
聽濤雅苑,Vista Paradiso,恒安,"10,531",9,"484-1,093",1998-1999,2,11,"2,032",0.44%,長實、協和
天頌苑,Tin Chung Court,天水圍,"5,648",8,426-804,1999-2001,,15,"6,080",0.13%,房委會
彩興苑,Choi Hing Court,彩虹,"9,730",7,368-468,2019,,3,"1,358",0.52%,房委會
柏傲莊,The Pavilia Farm,大圍,"19,202",7,"264-1,695",2022-2025,3,14,"3,090",0.23%,港鐵、新世界
天鑽,The Regent,大埔墟,"12,002",7,"334-1,388",2020,,17,"1,620",0.43%,中國海外
太安樓,Tai On Building,西灣河,"8,452",8,274-386,1968,,1,"1,864",0.43%,置地
溱岸8號,The Riverpark,車公廟,"15,830",8,"506-2,389",2012,,4,981,0.82%,港鐵、新世界
花都廣場,Flora Plaza,粉嶺,"9,860",8,370-536,1995,,10,"2,710",0.30%,恒基、華懋
天盛苑,Tin Shing Court,天水圍,"6,912",8,426-650,1999-2000,,17,"6,580",0.12%,房委會
香港仔中心,Aberdeen Centre,香港仔,"10,585",11,432-723,1979-1982,,20,"2,788",0.39%,長實
牽晴間,Dawning Views,粉嶺,"10,274",11,"379-1,074",1999,,12,"2,688",0.41%,恒基
嘉盛苑,Ka Shing Court,粉嶺,"6,935",7,433-833,1995,,4,"2,432",0.29%,房委會
富康花園,Beverly Garden,將軍澳,"8,190",3,495-692,1998,,10,"3,966",0.08%,房委會、其士
海之戀,Ocean Pride,荃灣西,"17,180",6,"370-1,163",2018,2,14,"2,406",0.25%,港鐵、長實
都會軒,The Metropolis Residence,紅磡,"15,479",6,"450-1,398",2002,,2,662,0.91%,長實
俊民苑,Chun Man Court,愛民,"8,538",7,484-592,1980-1981,,12,"1,800",0.39%,房委會
康華苑,Hong Wah Court,藍田,"7,888",5,346-423,1987,,3,"1,680",0.30%,房委會
宏景花園,Grand View Garden,鑽石山,"8,326",5,467-584,1999,,6,"2,230",0.22%,房委會、招商局、俊和
Monterey,Monterey,將軍澳,"15,657",5,"240-2,052",2018,,34,926,0.54%,會德豐
大興花園,Tai Hing Gardens,屯門,"8,389",11,394-587,1989-1994,2,15,"3,647",0.30%,恒隆、大興
